iata_code,name,active
8D,Expo Aviation,N
8D,Servant Air,N
8D,Astair,Y
8E,Bering Air,Y
8F,Fischer Air,N
8F,STP Airways,Y
8H,Heli France,Y
8I,Myway Airlines,Y
8J,Jet4You,Y
8J,Komiinteravia,N
8K,Voestar,Y
8L,Cargo Plus Aviation,Y
8L,Redhill Aviation,N
8M,Myanmar Airways International,Y
8M,Maxair,Y
8N,Barents AirLink,Y
8O,West Coast Air,Y
8P,Pacific Coastal Airline,Y
8Q,Maldivian Air Taxi,Y
8Q,Baker Aviation,N
8Q,Princess Air,N
8Q,Onur Air,Y
8R,TRIP Linhas A,Y
8S,Scorpio Aviation,N
8T,Air Tindi,Y
8U,Afriqiyah Airways,Y
8V,Astral Aviation,Y
8V,Wright Air Service,N
8W,Private Wings Flugcharter,N
8W,BAX Global,N
8Y,China Postal Airlines,N
8Y,Air Burundi,N
8Z,Wizz Air Hungary,Y
8z,Linea Aerea de Servicio Ejecutivo Regional,N
99,Ciao Air,Y
9A,All Africa,Y
9A,Air Atlantic,N
9C,China SSS,Y
9E,Pinnacle Airlines,Y
9F,Tramm Airlines,N
9H,MDLR Airlines,Y
9I,International Europe,Y
9I,Thai Sky Airlines,N
9J,Regionalia Chile,Y
9K,Cape Air,Y
9L,Colgan Air,Y
9N,Regional Air Iceland,Y
9O,National Airways Cameroon,N
9P,Pelangi ,N
9Q,PB Air,Y
9R,Phuket Air,N
9R,SATENA,Y
9S,Spring Airlines,Y
9T,Transwest Air,Y
9U,Air Moldova,Y
9V,Volotea Costa Rica,Y
9W,Jet Airways,Y
9X,Itali Airlines,N
9X,Regionalia Venezuela,Y
9Y,Air Kazakhstan,Y
::,Llloyd Helicopters,N
;;,Wilderness Air,Y
??,Court Line,N
??,South West Africa Territory Force,N
??,British Air Ferries,N
A1,Atifly,Y
A2,Cielos Airlines,N
A2,All America,Y
A3,Aegean Airlines,Y
A4,Southern Winds Airlines,Y
A5,Airlinair,Y
A6,Air Alps Aviation,N
A6,Air Alps Aviation (A6),Y
A7,Air Plus Comet,Y
A8,Benin Golf Air,N
A9,Georgian Airways,Y
AA,American Airlines,Y
AB,Air Berlin,Y
AC,Air Canada,Y
AD,Azul,Y
AD,Air Paradise International,N
AE,Mandarin Airlines,Y
AF,Air France,Y
AG,All America US,Y
AG,Air Contractors,N
AH,Air Algerie,Y
AI,Air India Limited,Y
AJ,Aero Contractors,Y
AK,AirAsia,Y
AL,Skywalk Airlines,Y
AL,Transaviaexport,N
AM,AeroMéxico,Y
AN,Ansett Australia,Y
AO,Avianova (Russia),Y
AO,Australian Airlines,N
AP,Air One,Y
AP,Airbus Industrie,N
AQ,Aloha Airlines,Y
AR,Aerolineas Argentinas,Y
AS,Alaska Airlines,Y
AT,Royal Air Maroc,Y
AU,Austral Lineas Aereas,Y
AV,Avianca - Aerovias Nacionales de Colombia,Y
AW,Dirgantara Air Service,N
AW,CHC Airways,N
AW,Asian Wings Airways,Y
AX,Trans States Airlines,Y
AY,Finnair,Y
AZ,Alitalia,Y
B0,Aws express,Y
B1,Baltic Air lines,Y
B2,Belavia Belarusian Airlines,Y
B3,Bellview Airlines,Y
B4,BACH Flugbetriebsges,N
B4,Bankair,N
B4,Flyglobespan,Y
B5,Flightline,Y
B6,JetBlue Airways,Y
B7,Uni Air,Y
B8,Eritrean Airlines,Y
B9,Air Bangladesh,Y
BA,British Airways,Y
BB,Seaborne Airlines,Y
BC,Skymark Airlines,Y
BD,bmi,Y
BE,Flybe,Y
BF,Aero-Service,Y
BF,Bluebird Cargo,N
BG,Biman Bangladesh Airlines,Y
BH,Hawkair,Y
BI,Royal Brunei Airlines,Y
BJ,Nouvel Air Tunisie,Y
BK,Potomac Air,Y
BL,Jetstar Pacific,Y
BM,Air Sicilia,Y
BM,Bayu Indonesia Air,N
BN,Braniff International Airways,N
BN,Forward Air International Airlines,N
BN,Horizon Airlines,Y
BO,Bouraq Indonesia Airlines,N
BP,Air Botswana,Y
BQ,Buquebus Líneas Aéreas,Y
BQ,Aeromar,N
BR,EVA Air,Y
BS,British International Helicopters,Y
BT,Air Baltic,Y
BU,Braathens,N
BU,Blue Sky America,N
BU,Baikotovitchestrian Airlines ,Y
BV,Blue Panorama Airlines,Y
BW,Caribbean Airlines,Y
BX,Coast Air,N
BX,Air Busan,Y
BY,Thomsonfly,Y
BZ,Black Stallion Airways,Y
BZ,Blue Dart Aviation,N
BZ,Keystone Air Services,N
BZ,Aero Brazil,N
C0,Centralwings,Y
C1,CanXpress,Y
C2,CanXplorer,Y
C3,ICAR Airlines,N
C3,QatXpress,Y
C3,Contact Air,Y
C4,LionXpress,Y
C4,Zimex Aviation,N
C5,CommutAir,Y
C6,CanJet,N
C7,Rico Linhas A,N
C7,Sky Wing Pacific,Y
C8,Chicago Express (C8),N
C8,Chicago Express,N
C9,Cirrus Airlines,Y
CA,Air China,Y
CB,CCML Airlines,Y
CB,Suckling Airways,N
CC,Macair Airlines,Y
CC,Air Atlanta Icelandic,Y
CD,Air India Regional,Y
CD,Alliance Air,N
CE,Nationwide Airlines,Y
CF,City Airline,Y
CG,Airlines PNG,Y
CH,Bemidji Airlines,Y
CI,China Airlines,Y
CJ,China Northern Airlines,N
CJ,BA CityFlyer,Y
CK,China Cargo Airlines,N
CL,Lufthansa CityLine,Y
CM,Copa Airlines,Y
CN,Westward Airways,N
CN,Islands Nationair,N
CN,Canadian National Airways,Y
CO,Continental Airlines,Y
CO,Continental Express,Y
CP,Compass Airlines,Y
CP,Canadian Airlines,Y
CQ,Sunshine Express Airlines,N
CQ,SOCHI AIR,Y
CR,OAG,N
CR,Air Ops,N
CS,Continental Micronesia,Y
CT,Civil Air Transport,N
CT,Alitalia Cityliner,Y
CU,Cubana de Aviación,Y
CV,Cargolux,N
CV,Air Chathams,Y
CW,Air Marshall Islands,Y
CX,Cathay Pacific,Y
CY,Cyprus Airways,Y
CZ,China Southern Airlines,Y
D1,Domenican Airlines,Y
D2,Severstal Air Company,Y
D3,Daallo Airlines,Y
D4,Alidaunia,N
D5,Dauair,N
D5,Skyline nepc,N
D5,NEPC Airlines,N
D6,Interair South Africa,Y
D7,Dinar,N
D7,AirAsia X,Y
D8,Djibouti Airlines,Y
D9,Aeroflot-Don,Y
DA,Dana Air,Y
DA,Air Georgia,N
DB,Brit Air,Y
DC,Golden Air,Y
DD,Nok Air,Y
DE,Condor Flugdienst,Y
DF,Michael Airlines,Y
DG,South East Asian Airlines,Y
DH,Discovery Airways,N
DH,Dennis Sky,Y
DH,Independence Air,N
DI,dba,Y
DJ,Virgin Blue,N
DJ,Pacific Blue,N
DJ,Polynesian Blue,N
DK,Eastland Air,Y
DL,Delta Air Lines,Y
DM,Maersk,Y
DN,Senegal Airlines,Y
